codigo,descripcion,CodigoBarras
1000000,STÖLZLE LAUSITZ COPAS DE CRISTAL WEINLAND GIN TONIC 650 ML.,4012632106827
1001,ODFJELL ARMADOR CABERNET SAUVIGNON 750 ML.,7809573900013
1002,ODFJELL ALIARA 750ML.,7809573900020
1003,ODFJELL ORZADA CABERNET SAUVIGNON 750 ML.,7809573900099
1005,ODFJELL ARMADOR SYRAH 750 ML.,7809573900143
1006,ODFJELL ARMADOR CARMENERE 750 ML.,7809573900051
1008,ODFJELL ORZADA CARMENERE 750 ML.,7809573900082
1009,ODFJELL ORZADA MALBEC 750 ML.,7809573900228
1011,ODFJELL ORZADA CARIGNAN 750 ML.,7809573900075
1017,CAPITULO 750ML - ODFJELL,7809573900716
1018,ARMADOR SAUVIGNON BLANC 750ML - ODFJELL,7809573900334
1300,FINCA RESALSO 750ML - EMILIO MORO,8436557310835
1301,EMILIO MORO 750ML - EMILIO MORO,8436557310866
1303,MALLEOLUS 750ML - EMILIO MORO,8436557310927
1304,MALLEOLUS DE SANCHOMARTIN 750ML - EMILIO MORO,8436557310224
1305,MALLEOLUS DE VALDERRAMIRO 750ML - EMILIO MORO,8436557311016
1306,CEPA 21  750ML - EMILIO MORO,8437005548138
1403,APERITIVO SELECT 700ML,80044048
1500,CHAMPAGNE LOUIS ROEDERER 750ML,3114080400050
1502,DOMAINES OTT (ROSADO) 750ML,3383690002385
1507,LOUIS ROEDERER CRISTAL ROSE 750 ML- LOUIS ROEDERER,3114080047057
15078,PITUCA CHIPS ORIGINAL 160GR,763331024922
1510,DUAS QUINTAS TINTO 750ML - RAMOS PINTO,5601332008624
1800,CARACTER CABERNET SAUVIGNON MALBEC 750ML - SANTA ANA,7790762050049
1801,CARACTER CHENIN CHARDONNAY 750ML - SANTA ANA,7790762051923
1802,CABERNET SAUVIGNON  750ML - SANTA ANA,7790762001287
1803,MALBEC 750ML - SANTA ANA,7790762001348
1804,TORRONTES 750ML - SANTA ANA,7790762000709
1805,CHARDONNAY 750ML - SANTA ANA,7790762000693
1806,SAUVIGNON BLANC 750ML - SANTA ANA,7790762076773
1808,DEMI SEC (ESPUMANTE) 750ML - SANTA ANA,7790762076520
1809,ECO MALBEC 750ML - SANTA ANA,7790762050551
1810,ECO TORRONTES 750ML - SANTA ANA,7790762050575
1812,SAUVIGNON BLANC  187ML - SANTA ANA,7790762076933
1813,RESERVA MALBEC 750ML - SANTA ANA,7790762008453
1814,RESERVA CABERNET SAUVIGNON 750ML - SANTA ANA,7790762000952
2000,RAVENTOS I BLANC BLANC DE BLANCS 750 ML.,8421478750150
20000,BENCHMARK No. 8  750 ML - BOURBON,88004020842
20003,PEYCHAUD BITTERS 10 ONZ,88004190170
2001,RAVENTOS I BLANC ROSE DE NIT 750 ML.,8421478770158
2002,RAVENTOS I BLANC DE LA FINCA 750 ML.,8421478701008
2006,RAVENTOS I BLANC SILENCIS 750ML.,8414786002578
2008,RAVENTOS I BLANC MANUEL RAVENTOS 750ML.,8421478702203
2010,ISABEL NEGRA CAB. SAUV. MONASTRELL 750ML - RAVENTOS i BLANC,8421478610454
2011,TEXTURE DE PEDRA BLANC DE NEGRES-RAVENTOS i BLANC 750 ML,8421478705105
2100,PULENTA LA FLOR MALBEC 750 ML.,7798108253512
2101,PULENTA LA FLOR ROSE MALBEC 750 ML.,7798108253604
2102,PULENTA LA FLOR SAUVIGNON BLANC 750 ML.,7798108253574
2103,PULENTA ESTATE CHARDONNAY VIII 750 ML.,7798108253772
2104,PULENTA ESTATE MALBEC I 750 ML.,7798108253246
2105,PULENTA LA FLOR BLEND 750 ML,7798108253154
2106,PULENTA ESTATE PINOT NOIR IX 750 ML.,7798108253307
2107,PULENTA ESTATE GRAN CORTE VII 750 ML.,7798108252515
2108,PULENTA ESTATE GRAN CABERNET FRANC XI 750 ML.,7798108253314
2109,PULENTA ESTATE GRAN MALBEC X 750 ML.,7798108253413
2112,LA FLOR CABERNET SAUVIGNON 750ML - PULENTA,7798108253529
2114,PULENTA ESTATE CABERNET SAUVIGNON 750ML,7798108253741
2115,PULENTA ESTATE MERLOT 750ML,7798108252485
2116,FINCA LA ZULEMA MALBEC,7798108254403
212,ROSE SEMI SECO 750ML - TACAMA,7750359000369
213,BLANCO SEMI SECO 750ML - TACAMA,7750359000376
214,TINTO SEMI SECO 750ML - TACAMA,7750359000383
216,GRAN BLANCO 750ML - TACAMA,7750359100069
217,GRAN TINTO 750ML - TACAMA,7750359100076
219,GRAN TINTO 375ML - TACAMA,7750359000093
220,GRAN BLANCO 375ML - TACAMA,7750359000208
221,BLANCO DE BLANCOS 750ML - TACAMA,7750359164122
222,SELECCION ESPECIAL TANNAT / PETIT VERDOT 750ML - TACAMA,7750359164115
223,SELECCION ESPECIAL PETIT VERDOT 750ML - TACAMA,7750359000253
224,SELECCION ESPECIAL MALBEC 750ML - TACAMA,7750359000314
225,SELECCION ESPECIAL CARMENERE 750ML - TACAMA,7750359000338
226,SELECCION ESPECIAL ALICANTE BOUSCHET 750ML -TACAMA,7750359000321
227,SELECCION ESPECIAL TANNAT / PETIT VERDOT 375ML - TACAMA,7750359000109
228,BLANCO DE BLANCOS 375ML - TACAMA,7750359000222
230,DON MANUEL TANNAT 750ML - TACAMA,7750359115575
231,DON MANUEL PETIT VERDOT 750ML - TACAMA,7750359000352
232,DOÑA ANA CHARDONNAY 750ML - TACAMA,7750359000260
233,ESPUMANTE ROSA SALVAJE 750ML - TACAMA,7750359000772
234,ESPUMANTE TACAMA BRUT 750ML - TACAMA,7750359200509
236,AMORE DE ICA 750ML - TACAMA,7750359000048
237,ALBILLA DE ICA 750ML - TACAMA,7750359000055
238,DEMONIO DE LOS ANDES ALBILLA 700ML - TACAMA,7750359000079
239,DEMONIO DE LOS ANDES ACHOLADO 700ML - TACAMA,7750359000062
240,DEMONIO DE LOS ANDES QUEBRANTA 700ML - TACAMA,7750359000086
241,GRAN DEMONIO DE LOS ANDES MOSTO VERDE ACHOLAD 500ML - TACAMA,7750359000437
242,GRAN DEMONIO DE LOS ANDES MOSTO VERDE QUEBRANTA 500ML - TACA,7750359000475
244,GRAN DEMONIO DE LOS ANDES MOSTO VERDE MOSCATEL 500ML - TACAM,7750359000468
247,GRAN DEMONIO DE LOS ANDES MOSTO VERDE ALBILLA 500ML - TACAMA,7750359000444
249,DEMONIO DE LOS ANDES ITALIA 700ML - TACAMA,7750359000659
250,BLANCO DE BLANCOS SAUVIGNON BLANC 750 ML TACAMA,7750359000642
2500,PISCO ACHOLADO 500 ML - TRES GENERACIONES,7750674000037
2501,PISCO ALBILLA 500 ML - TRES GENERACIONES,7750674000082
2502,PISCO ITALIA 500 ML - TRES GENERACIONES,7750674000075
2503,PISCO MOLLAR 500 ML - TRES GENERACIONES,7750674000136
2504,PISCO MOSTO VERDE QUEBRANTA 500 ML - TRES GENERACIONES,7750674000020
